,Localidad,Fecha,Cantidad
471,AMAZONAS,2021-03-22,2840.88
472,AMAZONAS,2021-03-23,547.88
473,AMAZONAS,2021-03-24,2304.5
474,AMAZONAS,2021-03-25,1369.2
475,AMAZONAS,2021-03-26,855.3
476,AMAZONAS,2021-03-27,744.63
477,AMAZONAS,2021-03-29,1117.6
478,AMAZONAS,2021-03-30,2080.08
479,AMAZONAS,2021-03-31,1780.25
480,AMAZONAS,2021-04-01,4.0
481,AMAZONAS,2021-04-02,8.0
482,AMAZONAS,2021-04-03,703.5
483,AMAZONAS,2021-04-05,838.88
484,AMAZONAS,2021-04-06,1152.78
485,AMAZONAS,2021-04-07,1804.46
486,AMAZONAS,2021-04-08,501.48
487,AMAZONAS,2021-04-09,768.13
488,AMAZONAS,2021-04-10,849.55
489,AMAZONAS,2021-04-12,854.0
490,AMAZONAS,2021-04-13,788.63
491,AMAZONAS,2021-04-14,1705.75
492,AMAZONAS,2021-04-15,1800.13
493,AMAZONAS,2021-04-16,582.78
494,AMAZONAS,2021-04-17,64.08
495,AMAZONAS,2021-04-19,983.75
496,AMAZONAS,2021-04-20,1053.53
497,AMAZONAS,2021-04-21,2142.18
498,AMAZONAS,2021-04-22,1953.15
499,AMAZONAS,2021-04-23,876.75
500,AMAZONAS,2021-04-24,575.5
501,AMAZONAS,2021-04-26,1984.04
502,AMAZONAS,2021-04-27,1741.57
503,AMAZONAS,2021-04-28,996.9
504,AMAZONAS,2021-04-29,3462.07
505,AMAZONAS,2021-04-30,3107.75
506,AMAZONAS,2021-05-01,76.0
507,AMAZONAS,2021-05-03,23.83
508,AMAZONAS,2021-05-04,896.88
509,AMAZONAS,2021-05-05,936.8
510,AMAZONAS,2021-05-06,976.23
511,AMAZONAS,2021-05-07,1229.58
512,AMAZONAS,2021-05-08,1083.5
513,AMAZONAS,2021-05-10,1355.35
514,AMAZONAS,2021-05-11,867.97
515,AMAZONAS,2021-05-12,1245.42
516,AMAZONAS,2021-05-13,1442.77
517,AMAZONAS,2021-05-14,2116.45
518,AMAZONAS,2021-05-15,1007.75
519,AMAZONAS,2021-05-17,908.99
520,AMAZONAS,2021-05-18,849.08
521,AMAZONAS,2021-05-19,1454.73
522,AMAZONAS,2021-05-20,505.19
523,AMAZONAS,2021-05-21,1074.69
524,AMAZONAS,2021-05-22,697.67
525,AMAZONAS,2021-05-24,1540.69
526,AMAZONAS,2021-05-25,705.5
527,AMAZONAS,2021-05-26,2049.71
528,AMAZONAS,2021-05-27,1036.5
529,AMAZONAS,2021-05-28,928.25
530,AMAZONAS,2021-05-29,2517.5
531,AMAZONAS,2021-05-30,1838.0
532,AMAZONAS,2021-05-31,2350.25
533,AMAZONAS,2021-06-01,17.88
534,AMAZONAS,2021-06-02,926.5
535,AMAZONAS,2021-06-03,439.5
536,AMAZONAS,2021-06-04,565.38
537,AMAZONAS,2021-06-05,990.73
538,AMAZONAS,2021-06-07,746.5
539,AMAZONAS,2021-06-08,779.75
540,AMAZONAS,2021-06-09,323.58
541,AMAZONAS,2021-06-10,787.73
542,AMAZONAS,2021-06-11,2618.66
543,AMAZONAS,2021-06-12,1251.5
544,AMAZONAS,2021-06-13,500.0
545,AMAZONAS,2021-06-14,3134.73
546,AMAZONAS,2021-06-15,477.75
547,AMAZONAS,2021-06-16,1353.27
548,AMAZONAS,2021-06-17,1249.73
549,AMAZONAS,2021-06-18,1089.38
550,AMAZONAS,2021-06-19,1030.0
551,AMAZONAS,2021-06-21,680.42
552,AMAZONAS,2021-06-22,1194.5
553,AMAZONAS,2021-06-23,1378.83
554,AMAZONAS,2021-06-24,1584.58
555,AMAZONAS,2021-06-25,801.7
556,AMAZONAS,2021-06-26,23.5
557,AMAZONAS,2021-06-28,80.0
558,ANCASH,2019-09-02,12849.68
559,ANCASH,2019-09-03,8139.39
560,ANCASH,2019-09-04,8595.68
561,ANCASH,2019-09-05,8498.25
562,ANCASH,2019-09-06,10553.5
563,ANCASH,2019-09-07,12677.85
564,ANCASH,2019-09-09,11362.08
565,ANCASH,2019-09-10,12686.14
566,ANCASH,2019-09-11,10339.53
567,ANCASH,2019-09-12,7777.85
568,ANCASH,2019-09-13,9871.71
569,ANCASH,2019-09-14,10773.96
570,ANCASH,2019-09-16,11004.15
571,ANCASH,2019-09-17,10713.11
572,ANCASH,2019-09-18,10368.32
573,ANCASH,2019-09-19,8982.13
574,ANCASH,2019-09-20,9129.36
575,ANCASH,2019-09-21,9874.91
576,ANCASH,2019-09-23,9739.58
577,ANCASH,2019-09-24,8354.02
578,ANCASH,2019-09-25,8897.64
579,ANCASH,2019-09-26,13528.79
580,ANCASH,2019-09-27,13604.13
581,ANCASH,2019-09-28,10653.09
582,ANCASH,2019-09-30,14088.64
583,ANCASH,2019-10-01,8373.95
584,ANCASH,2019-10-02,12206.98
585,ANCASH,2019-10-03,11794.15
586,ANCASH,2019-10-04,11545.39
587,ANCASH,2019-10-05,12344.48
588,ANCASH,2019-10-07,12795.28
589,ANCASH,2019-10-08,6254.98
590,ANCASH,2019-10-09,10391.99
591,ANCASH,2019-10-10,10975.72
